iter	MultiClass
0	2.169395493
1	2.066525112
2	1.985295667
3	1.903952085
4	1.834759803
5	1.77100617
6	1.712495205
7	1.659648246
8	1.606555988
9	1.567778791
10	1.525038987
11	1.485208
12	1.457981166
13	1.423589108
14	1.395465776
15	1.370273958
16	1.346088756
17	1.317952397
18	1.297471352
19	1.274541222
20	1.256101845
21	1.24002363
22	1.220729851
23	1.202934329
24	1.184438654
25	1.169384622
26	1.154143475
27	1.13412085
28	1.114635877
29	1.10019368
30	1.087734031
31	1.075628161
32	1.062782139
33	1.051754154
34	1.041919174
35	1.029803949
36	1.016771322
37	1.007305438
38	0.9969177222
39	0.9869934478
40	0.9780622007
41	0.964769453
42	0.9561522531
43	0.9467494725
44	0.9376946192
45	0.9311990896
46	0.9246217463
47	0.9161639401
48	0.9070883746
49	0.8977564368
50	0.8892652417
51	0.8800519255
52	0.872512791
53	0.8658602571
54	0.8588352882
55	0.851349113
56	0.84534739
57	0.8388666855
58	0.8322485133
59	0.8259828451
60	0.8203889555
61	0.8139266135
62	0.8087867254
63	0.8036174445
64	0.7974415005
65	0.7909581748
66	0.7851517054
67	0.7796635136
68	0.7706819075
69	0.7646816833
70	0.7600905537
71	0.7547888806
72	0.7479989431
73	0.7427166443
74	0.7393664486
75	0.7356213196
76	0.7309770607
77	0.7251482185
78	0.7187418859
79	0.716326853
80	0.7110296735
81	0.7073013753
82	0.7039227853
83	0.6992321184
84	0.6944848526
85	0.6906201242
86	0.6871615237
87	0.6830008102
88	0.6793515989
89	0.6765869704
90	0.6734441868
91	0.6678702609
92	0.6633221908
93	0.6593432019
94	0.6567134036
95	0.6523344117
96	0.649892204
97	0.645950328
98	0.6424972083
99	0.6378071913
100	0.6330822492
101	0.6300724366
102	0.626720429
103	0.6234664578
104	0.6189553858
105	0.6151985469
106	0.6122078176
107	0.6089660958
108	0.6047693283
109	0.6015510196
110	0.5976604388
111	0.5938589828
112	0.5907360657
113	0.5876519783
114	0.5846125435
115	0.5805514611
116	0.5779918257
117	0.5761736355
118	0.5731581198
119	0.5701829559
120	0.5675821804
121	0.5653516442
122	0.56185741
123	0.5591059088
124	0.5560063443
125	0.5536298812
126	0.5499190184
127	0.5468488593
128	0.5443518037
129	0.5415848918
130	0.5391870546
131	0.5360606329
132	0.5337144753
133	0.5316292429
134	0.5294386689
135	0.527118796
136	0.5252610138
137	0.5226793304
138	0.5212145858
139	0.5195574134
140	0.5166912418
141	0.5139824439
142	0.5114496263
143	0.5099166601
144	0.5070662503
145	0.5056119677
146	0.5035104364
147	0.5016236442
148	0.4989037262
149	0.4970540397
150	0.4941217309
151	0.4915778443
152	0.4889707652
153	0.4863103695
