iter	Passed	Remaining
0	44	44238
1	85	42520
2	125	41725
3	164	40910
4	203	40593
5	242	40176
6	283	40267
7	324	40218
8	365	40296
9	406	40237
10	446	40163
11	486	40065
12	527	40050
13	569	40140
14	611	40159
15	651	40084
16	690	39940
17	731	39894
18	774	39968
19	812	39818
20	853	39798
21	892	39658
22	932	39590
23	972	39540
24	1012	39483
25	1054	39509
26	1096	39512
27	1135	39434
28	1174	39334
29	1214	39254
30	1254	39225
31	1294	39144
32	1334	39094
33	1372	38999
34	1412	38937
35	1453	38914
36	1490	38798
37	1534	38847
38	1575	38818
39	1617	38827
40	1658	38785
41	1697	38729
42	1737	38678
43	1777	38618
44	1818	38596
45	1862	38629
46	1905	38627
47	1948	38648
48	1989	38621
49	2031	38598
50	2075	38612
51	2115	38563
52	2157	38556
53	2196	38483
54	2236	38421
55	2275	38357
56	2316	38331
57	2356	38273
58	2395	38202
59	2432	38115
60	2472	38063
61	2518	38098
62	2561	38092
63	2601	38047
64	2642	38012
65	2682	37968
66	2722	37906
67	2761	37844
68	2801	37802
69	2848	37842
70	2894	37872
71	2939	37880
72	2982	37869
73	3024	37843
74	3069	37851
75	3109	37806
76	3153	37803
77	3193	37751
78	3235	37721
79	3277	37688
80	3319	37663
81	3361	37630
82	3402	37596
83	3444	37563
84	3486	37533
85	3526	37477
86	3565	37421
87	3607	37390
88	3650	37369
89	3690	37313
90	3728	37245
91	3768	37197
92	3808	37147
93	3850	37113
94	3889	37057
95	3930	37016
96	3971	36976
97	4011	36920
98	4052	36881
99	4090	36818
100	4131	36777
101	4173	36745
102	4215	36714
103	4258	36692
104	4298	36639
105	4336	36573
106	4373	36504
107	4414	36463
108	4454	36415
109	4495	36369
110	4535	36321
111	4577	36292
112	4618	36253
113	4657	36201
114	4699	36164
115	4739	36115
116	4780	36082
117	4820	36032
118	4860	35986
119	4899	35927
120	4938	35875
121	4979	35838
122	5022	35809
123	5061	35755
124	5101	35710
125	5145	35693
126	5185	35644
127	5226	35607
128	5266	35561
129	5307	35519
130	5347	35471
131	5386	35422
132	5427	35378
133	5468	35343
134	5505	35277
135	5545	35231
136	5583	35173
137	5627	35149
138	5669	35121
139	5713	35095
140	5756	35068
141	5800	35045
142	5840	35003
143	5883	34974
144	5926	34948
145	5967	34904
146	6006	34856
147	6049	34823
148	6094	34809
149	6138	34783
150	6175	34721
151	6218	34690
152	6260	34659
153	6306	34646
154	6350	34622
155	6394	34596
156	6444	34602
157	6487	34571
158	6530	34542
159	6572	34504
160	6611	34455
161	6652	34414
162	6693	34373
163	6735	34334
164	6775	34285
165	6817	34254
166	6854	34192
167	6893	34141
168	6933	34095
169	6973	34046
170	7013	34001
171	7053	33954
172	7092	33903
173	7133	33865
174	7172	33811
175	7212	33765
176	7249	33710
177	7289	33664
178	7330	33621
179	7371	33583
180	7415	33556
181	7459	33528
182	7503	33500
183	7546	33468
184	7590	33438
185	7635	33414
186	7683	33405
187	7729	33386
188	7772	33353
189	7820	33338
190	7865	33314
191	7906	33272
192	7951	33246
193	7997	33224
194	8041	33197
195	8089	33181
196	8132	33150
197	8175	33116
198	8216	33070
199	8261	33045
200	8299	32992
201	8339	32946
202	8380	32904
203	8421	32860
204	8462	32817
205	8501	32769
206	8540	32719
207	8579	32668
208	8617	32614
209	8657	32567
210	8697	32523
211	8739	32485
212	8782	32449
213	8824	32409
214	8866	32372
215	8907	32329
216	8946	32282
217	8986	32236
218	9025	32187
219	9065	32142
220	9105	32095
221	9148	32059
222	9185	32006
223	9226	31962
224	9267	31922
225	9308	31880
226	9345	31825
227	9384	31776
228	9423	31725
229	9461	31675
230	9501	31629
231	9540	31581
232	9578	31531
233	9619	31489
234	9658	31441
235	9697	31394
236	9736	31347
237	9778	31306
238	9818	31264
239	9856	31210
240	9895	31164
241	9932	31111
242	9973	31070
243	10013	31026
244	10052	30977
245	10092	30933
246	10130	30884
247	10172	30844
248	10210	30795
249	10250	30752
250	10292	30714
251	10334	30674
252	10374	30631
253	10415	30589
254	10454	30544
255	10494	30499
256	10534	30456
257	10575	30416
258	10616	30373
259	10655	30328
260	10696	30286
261	10736	30241
262	10778	30203
263	10818	30160
264	10858	30117
265	10899	30076
266	10942	30041
267	10987	30010
268	11031	29977
269	11071	29934
270	11114	29897
271	11153	29853
272	11194	29809
273	11233	29765
274	11273	29719
275	11313	29676
276	11352	29631
277	11392	29588
278	11433	29546
279	11476	29510
280	11517	29471
281	11558	29428
282	11599	29389
283	11639	29344
284	11683	29310
285	11724	29270
286	11768	29235
287	11813	29206
288	11859	29176
289	11904	29146
290	11948	29112
291	11992	29078
292	12039	29050
293	12083	29016
294	12128	28984
295	12175	28958
296	12216	28915
297	12262	28887
298	12309	28859
299	12355	28829
300	12398	28793
301	12446	28767
302	12492	28736
303	12538	28706
304	12581	28670
305	12628	28640
306	12675	28611
307	12721	28582
308	12765	28547
309	12809	28511
310	12852	28474
311	12894	28433
312	12934	28389
313	12974	28345
314	13018	28310
315	13062	28275
316	13106	28238
317	13150	28203
318	13193	28166
319	13233	28121
320	13273	28076
321	13315	28037
322	13356	27995
323	13395	27948
324	13433	27900
325	13475	27859
326	13516	27818
327	13556	27774
328	13597	27732
329	13638	27690
330	13676	27642
331	13717	27600
332	13761	27563
333	13800	27518
334	13841	27475
335	13878	27426
336	13919	27384
337	13960	27342
338	14001	27300
339	14044	27262
340	14085	27220
341	14125	27177
342	14165	27133
343	14206	27091
344	14246	27047
345	14287	27006
346	14327	26961
347	14367	26918
348	14408	26877
349	14448	26833
350	14488	26789
351	14527	26744
352	14567	26701
353	14608	26658
354	14650	26618
355	14692	26578
356	14731	26532
357	14770	26487
358	14806	26436
359	14847	26395
360	14888	26353
361	14926	26307
362	14966	26262
363	15004	26217
364	15042	26170
365	15081	26125
366	15119	26078
367	15159	26035
368	15199	25990
369	15240	25950
370	15280	25906
371	15317	25858
372	15356	25813
373	15395	25768
374	15438	25730
375	15478	25687
376	15516	25641
377	15555	25596
378	15593	25550
379	15637	25513
380	15678	25472
381	15717	25427
382	15757	25385
383	15796	25339
384	15836	25297
385	15875	25253
386	15915	25210
387	15952	25162
388	15990	25116
389	16029	25072
390	16072	25033
391	16109	24986
392	16148	24942
393	16187	24898
394	16227	24855
395	16270	24816
396	16308	24770
397	16348	24728
398	16387	24684
399	16427	24640
400	16465	24595
401	16506	24554
402	16544	24509
403	16585	24467
404	16626	24425
405	16667	24384
406	16705	24339
407	16744	24295
408	16784	24253
409	16825	24211
410	16870	24176
411	16911	24135
412	16949	24090
413	16991	24050
414	17032	24009
415	17070	23964
416	17111	23922
417	17152	23881
418	17191	23837
419	17233	23798
420	17272	23755
421	17312	23713
422	17353	23670
423	17392	23628
424	17434	23587
425	17475	23546
426	17518	23507
427	17558	23465
428	17597	23422
429	17636	23378
430	17674	23333
431	17715	23292
432	17755	23250
433	17794	23206
434	17834	23164
435	17873	23120
436	17913	23078
437	17953	23036
438	17993	22994
439	18037	22957
440	18078	22916
441	18120	22875
442	18160	22833
443	18200	22791
444	18240	22748
445	18279	22706
446	18320	22665
447	18361	22623
448	18404	22584
449	18441	22539
450	18481	22497
451	18519	22453
452	18557	22408
453	18599	22368
454	18642	22329
455	18682	22287
456	18721	22244
457	18762	22203
458	18802	22162
459	18842	22119
460	18882	22077
461	18922	22035
462	18960	21991
463	19000	21948
464	19040	21906
465	19079	21863
466	19116	21818
467	19155	21774
468	19196	21734
469	19236	21691
470	19276	21649
471	19316	21607
472	19353	21562
473	19393	21520
474	19434	21479
475	19471	21434
476	19511	21392
477	19551	21351
478	19590	21308
479	19631	21267
480	19669	21223
481	19708	21180
482	19748	21138
483	19789	21097
484	19832	21059
485	19872	21017
486	19913	20976
487	19952	20933
488	19991	20891
489	20031	20849
490	20072	20808
491	20111	20765
492	20151	20724
493	20192	20682
494	20233	20641
495	20272	20599
496	20313	20559
497	20353	20517
498	20393	20475
499	20435	20435
500	20476	20394
501	20516	20353
502	20557	20312
503	20598	20271
